date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:44	9877/9877	---M--	200	added ('OK')	image/jpeg	etag:%222695-55af9d146fc00%22	http://localhost/gst/wp-content/uploads/2017/10/wordpress_music_pg4-300x169.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/wordpress_music_pg4-300x169.jpg	(from http://localhost/gst/our-work/)
12:58:50	486136/486136	---M--	200	added ('OK')	image/png	etag:%2276af8-55af9d1840500%22	http://localhost/gst/wp-content/uploads/2017/10/wordpress_sports.png	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/wordpress_sports.png	(from http://localhost/gst/our-work/)
12:58:52	11894/11894	---M--	200	added ('OK')	image/jpeg	etag:%222e76-55af9cf032680%22	http://localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg1-300x171.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg1-300x171.jpg	(from http://localhost/gst/our-work/)
12:58:54	407836/407836	---M--	200	added ('OK')	image/jpeg	etag:%226391c-55af9d0eb6e80%22	http://localhost/gst/wp-content/uploads/2017/10/wordpress_music_pg3.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/wordpress_music_pg3.jpg	(from http://localhost/gst/our-work/)
12:58:56	11093/11093	---M--	200	added ('OK')	image/jpeg	etag:%222b55-55af9cfd8c600%22	http://localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg3-300x170.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg3-300x170.jpg	(from http://localhost/gst/our-work/)
12:59:01	390184/390184	---M--	200	added ('OK')	image/jpeg	etag:%225f428-55af9d146fc00%22	http://localhost/gst/wp-content/uploads/2017/10/wordpress_music_pg4.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/wordpress_music_pg4.jpg	(from http://localhost/gst/our-work/)
12:59:03	12675/12675	---M--	200	added ('OK')	image/jpeg	etag:%223183-55af9cf7d3880%22	http://localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg2-300x171.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg2-300x171.jpg	(from http://localhost/gst/our-work/)
12:59:32	177377/177377	---M--	200	added ('OK')	image/jpeg	etag:%222b4e1-55af9cff74a80%22	http://localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg4.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg4.jpg	(from http://localhost/gst/our-work/)
12:59:33	6435/6435	---M--	200	added ('OK')	image/jpeg	etag:%221923-55af9cff74a80%22	http://localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg4-300x169.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg4-300x169.jpg	(from http://localhost/gst/our-work/)
13:00:20	595443/595443	---M--	200	added ('OK')	image/jpeg	etag:%22915f3-55af9cf032680%22	http://localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg1.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg1.jpg	(from http://localhost/gst/our-work/)
